section,function,is_prop
       numpy.ndarray      ,numpy.ndarray.byteswap,False
       numpy.ndarray      ,numpy.ndarray.copy,False
       numpy.ndarray      ,numpy.ndarray.view,False
       numpy.ndarray      ,numpy.ndarray.getfield,False
       numpy.ndarray      ,numpy.ndarray.setflags,False
       numpy.ndarray      ,numpy.ndarray.fill,False
       numpy.ndarray      ,numpy.ndarray.reshape,False
       numpy.ndarray      ,numpy.ndarray.resize,False
       numpy.ndarray      ,numpy.ndarray.transpose,False
       numpy.ndarray      ,numpy.ndarray.swapaxes,False
       numpy.ndarray      ,numpy.ndarray.flatten,True
       numpy.ndarray      ,numpy.ndarray.ravel,False
       numpy.ndarray      ,numpy.ndarray.squeeze,False
       numpy.ndarray      ,numpy.ndarray.take,False
       numpy.ndarray      ,numpy.ndarray.put,False
       numpy.ndarray      ,numpy.ndarray.repeat,False
       numpy.ndarray      ,numpy.ndarray.choose,False
       numpy.ndarray      ,numpy.ndarray.sort,False
       numpy.ndarray      ,numpy.ndarray.argsort,False
       numpy.ndarray      ,numpy.ndarray.partition,False
       numpy.ndarray      ,numpy.ndarray.argpartition,False
       numpy.ndarray      ,numpy.ndarray.searchsorted,False
       numpy.ndarray      ,numpy.ndarray.nonzero,False
       numpy.ndarray      ,numpy.ndarray.compress,False
       numpy.ndarray      ,numpy.ndarray.diagonal,False
       numpy.ndarray      ,numpy.ndarray.max,False
       numpy.ndarray      ,numpy.ndarray.argmax,False
       numpy.ndarray      ,numpy.ndarray.min,False
       numpy.ndarray      ,numpy.ndarray.argmin,False
       numpy.ndarray      ,numpy.ndarray.ptp,False
       numpy.ndarray      ,numpy.ndarray.clip,False
       numpy.ndarray      ,numpy.ndarray.conj,False
       numpy.ndarray      ,numpy.ndarray.round,False
       numpy.ndarray      ,numpy.ndarray.trace,False
       numpy.ndarray      ,numpy.ndarray.sum,False
       numpy.ndarray      ,numpy.ndarray.cumsum,False
       numpy.ndarray      ,numpy.ndarray.mean,False
       numpy.ndarray      ,numpy.ndarray.var,False
       numpy.ndarray      ,numpy.ndarray.std,False
       numpy.ndarray      ,numpy.ndarray.prod,False
       numpy.ndarray      ,numpy.ndarray.cumprod,False
       numpy.ndarray      ,numpy.ndarray.all,False
       numpy.ndarray      ,numpy.ndarray.any,False
       numpy.ndarray      ,numpy.ndarray.__lt__,False
       numpy.ndarray      ,numpy.ndarray.__le__,False
       numpy.ndarray      ,numpy.ndarray.__gt__,False
       numpy.ndarray      ,numpy.ndarray.__ge__,False
       numpy.ndarray      ,numpy.ndarray.__eq__,False
       numpy.ndarray      ,numpy.ndarray.__ne__,False
       numpy.ndarray      ,numpy.ndarray.__bool__,False
       numpy.ndarray      ,numpy.ndarray.__neg__,False
       numpy.ndarray      ,numpy.ndarray.__pos__,False
       numpy.ndarray      ,numpy.ndarray.__abs__,False
       numpy.ndarray      ,numpy.ndarray.__invert__,False
       numpy.ndarray      ,numpy.ndarray.__add__,False
       numpy.ndarray      ,numpy.ndarray.__sub__,False
       numpy.ndarray      ,numpy.ndarray.__mul__,False
       numpy.ndarray      ,numpy.ndarray.__truediv__,False
       numpy.ndarray      ,numpy.ndarray.__floordiv__,False
       numpy.ndarray      ,numpy.ndarray.__mod__,False
       numpy.ndarray      ,numpy.ndarray.__divmod__,False
       numpy.ndarray      ,numpy.ndarray.__pow__,False
       numpy.ndarray      ,numpy.ndarray.__lshift__,False
       numpy.ndarray      ,numpy.ndarray.__rshift__,False
       numpy.ndarray      ,numpy.ndarray.__and__,False
       numpy.ndarray      ,numpy.ndarray.__or__,False
       numpy.ndarray      ,numpy.ndarray.__xor__,False
       numpy.ndarray      ,numpy.ndarray.__iadd__,False
       numpy.ndarray      ,numpy.ndarray.__isub__,False
       numpy.ndarray      ,numpy.ndarray.__imul__,False
       numpy.ndarray      ,numpy.ndarray.__itruediv__,False
       numpy.ndarray      ,numpy.ndarray.__ifloordiv__,False
       numpy.ndarray      ,numpy.ndarray.__imod__,False
       numpy.ndarray      ,numpy.ndarray.__ipow__,False
       numpy.ndarray      ,numpy.ndarray.__ilshift__,False
       numpy.ndarray      ,numpy.ndarray.__irshift__,False
       numpy.ndarray      ,numpy.ndarray.__iand__,False
       numpy.ndarray      ,numpy.ndarray.__ior__,False
       numpy.ndarray      ,numpy.ndarray.__ixor__,False
       numpy.ndarray      ,numpy.ndarray.__matmul__,False
       numpy.ndarray      ,numpy.ndarray.__copy__,False
       numpy.ndarray      ,numpy.ndarray.__deepcopy__,False
       numpy.ndarray      ,numpy.ndarray.__reduce__,False
       numpy.ndarray      ,numpy.ndarray.__setstate__,False
       numpy.ndarray      ,numpy.ndarray.__new__,False
       numpy.ndarray      ,numpy.ndarray.__array__,False
       numpy.ndarray      ,numpy.ndarray.__array_wrap__,False
       numpy.ndarray      ,numpy.ndarray.__len__,False
       numpy.ndarray      ,numpy.ndarray.__getitem__,False
       numpy.ndarray      ,numpy.ndarray.__setitem__,False
       numpy.ndarray      ,numpy.ndarray.__contains__,False
       numpy.ndarray      ,numpy.ndarray.__int__,False
       numpy.ndarray      ,numpy.ndarray.__float__,False
       numpy.ndarray      ,numpy.ndarray.__complex__,False
       numpy.ndarray      ,numpy.ndarray.__str__,False
       numpy.ndarray      ,numpy.ndarray.__repr__,False
       numpy.ndarray      ,numpy.ndarray.__class_getitem__,False
